participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.0625,right,right,TRUE,left,0.7946391000004951,FALSE
001,0.05,left,left,TRUE,left,0.9399724000004426,TRUE
001,0.0625,left,right,FALSE,right,1.253817199999503,FALSE
001,0.0125,right,right,TRUE,right,0.7153188000002046,TRUE
001,0.075,left,right,FALSE,left,0.7914561999996295,TRUE
001,0.05,left,right,FALSE,left,0.49148650000006455,TRUE
001,0.025,right,left,FALSE,left,0.39073239999925136,FALSE
001,0.0625,left,left,TRUE,left,0.38735929999984364,TRUE
001,0.025,right,right,TRUE,right,0.5137087000002794,TRUE
001,0.025,right,right,TRUE,right,0.6290190999998231,TRUE
001,0.075,left,left,TRUE,right,0.7320067999999083,FALSE
001,0.05,right,left,FALSE,left,0.7996606999995493,FALSE
001,0.05,left,right,FALSE,left,0.5798310000000129,TRUE
001,0.05,right,right,TRUE,right,1.185822299999927,TRUE
001,0.0625,right,right,TRUE,right,0.8390585000006467,TRUE
001,0.05,left,left,TRUE,left,0.7631988999992245,TRUE
001,0.0625,right,left,FALSE,left,1.203345700000682,FALSE
001,0.025,right,left,FALSE,left,0.404705400000239,FALSE
001,0.0625,right,left,FALSE,left,0.41171380000014324,FALSE
001,0.0125,right,right,TRUE,left,0.17288310000003548,FALSE
001,0.025,right,right,TRUE,right,0.5998546999999235,TRUE
001,0.075,left,right,FALSE,left,0.44778560000031575,TRUE
001,0.05,right,right,TRUE,right,0.5485258999997313,TRUE
001,0.075,left,left,TRUE,right,0.7704818000001978,FALSE
001,0.0375,left,right,FALSE,left,0.7572741000003589,TRUE
001,0.05,right,right,TRUE,right,1.1757854999996198,TRUE
001,0.0375,right,right,TRUE,right,0.48750769999969634,TRUE
001,0.0625,left,right,FALSE,right,0.3295258999996804,FALSE
001,0.0125,left,left,TRUE,left,0.8824662000006356,TRUE
001,0.075,right,left,FALSE,right,0.8337947999998505,TRUE
001,0.0375,left,right,FALSE,right,0.6931509000005462,FALSE
001,0.075,left,right,FALSE,left,0.7883320999999341,TRUE
001,0.075,right,right,TRUE,left,0.8791348000004291,FALSE
001,0.05,left,right,FALSE,right,1.104159299999992,FALSE
001,0.0375,left,right,FALSE,right,0.7727908999995634,FALSE
001,0.0125,left,right,FALSE,left,1.0863210000006802,TRUE
001,0.075,left,left,TRUE,left,1.0581283999999869,TRUE
001,0.0625,left,right,FALSE,right,0.9699880999996822,FALSE
001,0.025,left,left,TRUE,left,0.7859198999994987,TRUE
001,0.0375,right,left,FALSE,left,0.6312768999996479,FALSE
001,0.0375,right,right,TRUE,right,0.49880450000000565,TRUE
001,0.05,right,left,FALSE,left,0.2755333999994036,FALSE
001,0.075,right,right,TRUE,right,0.8062466000001223,TRUE
001,0.05,right,right,TRUE,right,0.6077572000003784,TRUE
001,0.075,right,right,TRUE,right,0.5073541000001569,TRUE
001,0.0125,left,right,FALSE,right,0.6343612999999095,FALSE
001,0.0375,left,right,FALSE,right,0.5352780000002895,FALSE
001,0.05,right,left,FALSE,left,0.8464440999996441,FALSE
001,0.05,left,left,TRUE,left,0.3637729000001855,TRUE
001,0.0125,right,left,FALSE,left,0.3843541999995068,FALSE
001,0.075,left,right,FALSE,right,0.7085473999995884,FALSE
001,0.05,left,right,FALSE,left,0.152438400000392,TRUE
001,0.025,left,right,FALSE,left,0.392675699999927,TRUE
001,0.0125,right,right,TRUE,right,0.9725999000002048,TRUE
001,0.0125,left,right,FALSE,right,0.38893759999973554,FALSE
001,0.0375,left,left,TRUE,left,0.3938193999993018,TRUE
001,0.025,left,left,TRUE,left,0.3950636999998096,TRUE
001,0.0125,right,right,TRUE,right,0.7476381000005858,TRUE
001,0.0125,right,right,TRUE,right,0.7973287999993772,TRUE
001,0.025,right,left,FALSE,left,0.8541768999994019,FALSE
001,0.0375,left,left,TRUE,left,0.4611697999998796,TRUE
001,0.0125,left,right,FALSE,right,0.3602473999999347,FALSE
001,0.0375,right,right,TRUE,right,0.3206156000005649,TRUE
001,0.0625,right,right,TRUE,right,0.4915369999998802,TRUE
001,0.05,right,left,FALSE,left,0.46576530000038474,FALSE
001,0.0375,left,right,FALSE,right,0.27794680000079097,FALSE
001,0.075,right,right,TRUE,right,0.3105522000005294,TRUE
001,0.05,left,right,FALSE,left,0.1929472000001624,TRUE
001,0.025,left,right,FALSE,right,0.20421639999949548,FALSE
001,0.025,right,right,TRUE,right,0.5886756999998397,TRUE
001,0.0375,left,left,TRUE,left,0.3703285000001415,TRUE
001,0.025,right,right,TRUE,right,0.4765819999993255,TRUE
001,0.075,left,right,FALSE,right,0.4418007000003854,FALSE
001,0.0375,right,right,TRUE,right,0.2916917000002286,TRUE
001,0.0625,left,right,FALSE,left,0.12308209999991959,TRUE
001,0.075,left,left,TRUE,left,0.9615133999996033,TRUE
001,0.0625,right,left,FALSE,left,0.7870196000003489,FALSE
001,0.05,right,left,FALSE,left,0.6555160999996588,FALSE
001,0.0625,right,right,TRUE,left,0.6278745999998137,FALSE
001,0.0125,left,left,TRUE,left,1.6654207000001406,TRUE
001,0.0125,right,right,TRUE,left,0.5423378999994384,FALSE
001,0.075,left,right,FALSE,left,0.47452849999990576,TRUE
001,0.0125,right,left,FALSE,left,0.6476039999997738,FALSE
001,0.0125,right,left,FALSE,left,0.47672099999999773,FALSE
001,0.05,right,left,FALSE,right,0.5222374000004493,TRUE
001,0.0375,right,right,TRUE,left,0.5794207999997525,FALSE
001,0.075,left,right,FALSE,left,0.43144829999982903,TRUE
001,0.05,left,right,FALSE,left,0.5330165999994279,TRUE
001,0.05,right,left,FALSE,right,0.38839960000041174,TRUE
001,0.075,left,left,TRUE,right,0.36529799999971146,FALSE
001,0.025,right,left,FALSE,left,0.46758870000030583,FALSE
001,0.0125,left,left,TRUE,right,0.46274710000034247,FALSE
001,0.075,left,left,TRUE,right,0.5046322999996846,FALSE
001,0.0625,left,right,FALSE,left,0.37587449999955425,TRUE
001,0.0375,left,left,TRUE,left,0.8295747000001938,TRUE
001,0.0375,right,right,TRUE,left,0.4252895999998145,FALSE
001,0.025,right,right,TRUE,right,0.5639695999998366,TRUE
001,0.0625,right,right,TRUE,left,0.5222051000000647,FALSE
001,0.05,right,left,FALSE,right,0.3930702999996356,TRUE
001,0.025,right,right,TRUE,left,0.7045312999998714,FALSE
001,0.0625,left,left,TRUE,left,0.5456711999995605,TRUE
001,0.05,left,left,TRUE,left,0.6278771999996025,TRUE
001,0.0125,right,right,TRUE,left,0.5077565999999933,FALSE
